t,cmdty,market_name,district_name,variety,p_min,p_max,p_modal,date,price_info
2025-02-23,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,20000,20000,20000,2025-02-23,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-02-23,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,24000,24000,24000,2025-02-23,"Minimum Price: ₹24000, Maximum Price: ₹24000, Modal Price: ₹24000"
2025-02-23,Chili Red,Tiruppur (North) (Uzhavar Sandhai ),Coimbatore,Bold,14000,15000,15000,2025-02-23,"Minimum Price: ₹14000, Maximum Price: ₹15000, Modal Price: ₹15000"
2025-02-23,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-02-23,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-02-24,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-02-24,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-02-24,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,24000,24000,24000,2025-02-24,"Minimum Price: ₹24000, Maximum Price: ₹24000, Modal Price: ₹24000"
2025-02-25,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,24000,24000,24000,2025-02-25,"Minimum Price: ₹24000, Maximum Price: ₹24000, Modal Price: ₹24000"
2025-02-25,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-02-25,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-02-25,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,18000,18000,18000,2025-02-25,"Minimum Price: ₹18000, Maximum Price: ₹18000, Modal Price: ₹18000"
2025-02-25,Chili Red,Thathakapatti(Uzhavar Sandhai ),Salem,Bold,8000,10000,10000,2025-02-25,"Minimum Price: ₹8000, Maximum Price: ₹10000, Modal Price: ₹10000"
2025-02-26,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-02-26,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-02-26,Chili Red,Thathakapatti(Uzhavar Sandhai ),Salem,Bold,10000,10000,10000,2025-02-26,"Minimum Price: ₹10000, Maximum Price: ₹10000, Modal Price: ₹10000"
2025-02-26,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,24000,24000,24000,2025-02-26,"Minimum Price: ₹24000, Maximum Price: ₹24000, Modal Price: ₹24000"
2025-02-27,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-02-27,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-02-27,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,24000,24000,24000,2025-02-27,"Minimum Price: ₹24000, Maximum Price: ₹24000, Modal Price: ₹24000"
2025-02-28,Chili Red,Tiruppur (North) (Uzhavar Sandhai ),Coimbatore,Bold,15000,17000,17000,2025-02-28,"Minimum Price: ₹15000, Maximum Price: ₹17000, Modal Price: ₹17000"
2025-02-28,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-02-28,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-02-28,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,24000,24000,24000,2025-02-28,"Minimum Price: ₹24000, Maximum Price: ₹24000, Modal Price: ₹24000"
2025-03-01,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,24000,24000,24000,2025-03-01,"Minimum Price: ₹24000, Maximum Price: ₹24000, Modal Price: ₹24000"
2025-03-01,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-03-01,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-01,Chili Red,Tiruppur (North) (Uzhavar Sandhai ),Coimbatore,Bold,15000,17000,17000,2025-03-01,"Minimum Price: ₹15000, Maximum Price: ₹17000, Modal Price: ₹17000"
2025-03-01,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,20000,20000,20000,2025-03-01,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-02,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,24000,24000,24000,2025-03-02,"Minimum Price: ₹24000, Maximum Price: ₹24000, Modal Price: ₹24000"
2025-03-02,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,21000,21000,21000,2025-03-02,"Minimum Price: ₹21000, Maximum Price: ₹21000, Modal Price: ₹21000"
2025-03-02,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-03-02,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-03,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,16000,16000,16000,2025-03-03,"Minimum Price: ₹16000, Maximum Price: ₹16000, Modal Price: ₹16000"
2025-03-03,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-03-03,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-03,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,24000,24000,24000,2025-03-03,"Minimum Price: ₹24000, Maximum Price: ₹24000, Modal Price: ₹24000"
2025-03-04,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,18000,18000,18000,2025-03-04,"Minimum Price: ₹18000, Maximum Price: ₹18000, Modal Price: ₹18000"
2025-03-04,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,24000,24000,24000,2025-03-04,"Minimum Price: ₹24000, Maximum Price: ₹24000, Modal Price: ₹24000"
2025-03-04,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-04,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-05,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,24000,24000,24000,2025-03-05,"Minimum Price: ₹24000, Maximum Price: ₹24000, Modal Price: ₹24000"
2025-03-05,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,18000,18000,18000,2025-03-05,"Minimum Price: ₹18000, Maximum Price: ₹18000, Modal Price: ₹18000"
2025-03-05,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-05,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-06,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-06,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-06,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-06,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-07,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-07,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-07,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-07,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-08,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-08,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-08,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-03-08,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-08,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,18000,18000,18000,2025-03-08,"Minimum Price: ₹18000, Maximum Price: ₹18000, Modal Price: ₹18000"
2025-03-09,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-09,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-09,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-09,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-09,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,18000,18000,18000,2025-03-09,"Minimum Price: ₹18000, Maximum Price: ₹18000, Modal Price: ₹18000"
2025-03-10,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-10,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-10,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-10,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-10,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,18000,18000,18000,2025-03-10,"Minimum Price: ₹18000, Maximum Price: ₹18000, Modal Price: ₹18000"
2025-03-11,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-11,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-11,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,18000,18000,18000,2025-03-11,"Minimum Price: ₹18000, Maximum Price: ₹18000, Modal Price: ₹18000"
2025-03-11,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-11,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-12,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-12,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-12,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-12,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-12,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,18000,18000,18000,2025-03-12,"Minimum Price: ₹18000, Maximum Price: ₹18000, Modal Price: ₹18000"
2025-03-13,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-13,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-13,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-13,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-14,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-14,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-14,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-03-14,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-15,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-15,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-15,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,18000,18000,18000,2025-03-15,"Minimum Price: ₹18000, Maximum Price: ₹18000, Modal Price: ₹18000"
2025-03-17,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-17,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-17,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,17500,17500,17500,2025-03-17,"Minimum Price: ₹17500, Maximum Price: ₹17500, Modal Price: ₹17500"
2025-03-17,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-17,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-18,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-18,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-18,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,17500,17500,17500,2025-03-18,"Minimum Price: ₹17500, Maximum Price: ₹17500, Modal Price: ₹17500"
2025-03-18,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-18,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-19,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-19,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-19,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,18000,18000,18000,2025-03-19,"Minimum Price: ₹18000, Maximum Price: ₹18000, Modal Price: ₹18000"
2025-03-19,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-19,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-20,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-20,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-20,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-20,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-21,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-21,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-21,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-21,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-22,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-22,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-22,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,17500,17500,17500,2025-03-22,"Minimum Price: ₹17500, Maximum Price: ₹17500, Modal Price: ₹17500"
2025-03-22,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-03-22,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-23,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-23,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-23,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-03-23,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-23,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,18000,18000,18000,2025-03-23,"Minimum Price: ₹18000, Maximum Price: ₹18000, Modal Price: ₹18000"
2025-03-23,Chili Red,Namakkal(Uzhavar Sandhai ),Namakkal,Bold,18000,20000,20000,2025-03-23,"Minimum Price: ₹18000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-24,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,22000,22000,22000,2025-03-24,"Minimum Price: ₹22000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-24,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,17500,17500,17500,2025-03-24,"Minimum Price: ₹17500, Maximum Price: ₹17500, Modal Price: ₹17500"
2025-03-24,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-24,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-25,Chili Red,Perambalur(Uzhavar Sandhai ),Perambalur,Bold,18000,20000,20000,2025-03-25,"Minimum Price: ₹18000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-25,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,18000,18000,18000,2025-03-25,"Minimum Price: ₹18000, Maximum Price: ₹18000, Modal Price: ₹18000"
2025-03-25,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,22000,22000,22000,2025-03-25,"Minimum Price: ₹22000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-25,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-25,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-26,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-26,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-26,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,18000,22000,22000,2025-03-26,"Minimum Price: ₹18000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-26,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,20000,20000,20000,2025-03-26,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-26,Chili Red,Harur(Uzhavar Sandhai ),Dharmapuri,Bold,8800,9000,9000,2025-03-26,"Minimum Price: ₹8800, Maximum Price: ₹9000, Modal Price: ₹9000"
2025-03-27,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,18000,22000,22000,2025-03-27,"Minimum Price: ₹18000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-27,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-27,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-28,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-28,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-28,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-03-28,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-28,Chili Red,Tiruppur (North) (Uzhavar Sandhai ),Coimbatore,Bold,16000,17000,17000,2025-03-28,"Minimum Price: ₹16000, Maximum Price: ₹17000, Modal Price: ₹17000"
2025-03-29,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-29,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-29,Chili Red,Tiruppur (North) (Uzhavar Sandhai ),Coimbatore,Bold,16000,17000,17000,2025-03-29,"Minimum Price: ₹16000, Maximum Price: ₹17000, Modal Price: ₹17000"
2025-03-29,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-03-29,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-29,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,17500,17500,17500,2025-03-29,"Minimum Price: ₹17500, Maximum Price: ₹17500, Modal Price: ₹17500"
2025-03-29,Chili Red,Namakkal(Uzhavar Sandhai ),Namakkal,Bold,18000,20000,20000,2025-03-29,"Minimum Price: ₹18000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-30,Chili Red,Namakkal(Uzhavar Sandhai ),Namakkal,Bold,18000,20000,20000,2025-03-30,"Minimum Price: ₹18000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-30,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-03-30,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-30,Chili Red,Tiruppur (North) (Uzhavar Sandhai ),Coimbatore,Bold,16000,17000,17000,2025-03-30,"Minimum Price: ₹16000, Maximum Price: ₹17000, Modal Price: ₹17000"
2025-03-30,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-03-30,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-31,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,22000,22000,22000,2025-03-31,"Minimum Price: ₹22000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-03-31,Chili Red,Gudiyatham(Uzhavar Sandhai ),Vellore,Bold,20000,20000,20000,2025-03-31,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-03-31,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-03-31,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-04-01,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,22000,22000,22000,2025-04-01,"Minimum Price: ₹22000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-04-01,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-04-01,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-04-01,Chili Red,Perambalur(Uzhavar Sandhai ),Perambalur,Bold,17000,18000,18000,2025-04-01,"Minimum Price: ₹17000, Maximum Price: ₹18000, Modal Price: ₹18000"
2025-04-02,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-04-02,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
